Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
2MASS J0415-0935;nan;Газовый гигант;11758.60;9.58;73.61;195;178.10;0.508;0.000;0.332;Оригинал;Оригинал
2MASS J1404-3159;nan;Газовый гигант;20657.00;11.26;79.78;288;219.17;0.687;0.000;0.332;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-1654 b;Kepler-1654;Газовый гигант;158.91;9.18;1.13;188;1047.84;2.026;0.000;0.332;Оригинал;Оригинал
Kepler-1513 c;Kepler-1513;Газовый гигант;84.54;8.71;0.70;180;841.40;1.710;0.000;0.332;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
S Ori J05382962-0304382;nan;Газовый гигант;3940.72;10.16;20.69;205;357.63;0.908;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 31253 Ab;HD 31253 A;Газовый гигант;2223.87;10.59;10.32;304;466.00;1.260;0.827;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 28254 b;HD 28254;Газовый гигант;1207.75;8.89;9.47;183;1333.00;2.447;0.771;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Hya12;nan;Газовый гигант;4131.40;9.18;29.42;344;110.36;0.437;0.000;0.333;Оригинал;Оригинал
KMT-2018-BLG-1743L b;KMT-2018-BLG-1743L;Газовый гигант;77.87;8.00;0.84;168;75.13;0.201;0.000;0.333;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 109286 b;HD 109286;Газовый гигант;3213.21;11.67;11.15;233;520.10;1.257;0.926;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
IRAM 04191 b;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
OGLE-2017-BLG-1522L;nan;Газовый гигант;14618.80;11.34;55.24;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
LHS 6176 B;LHS 6176 A;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
CWISE J0435+2138;nan;Газовый гигант;14618.80;11.34;55.24;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J1506+7027;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
2MASS J0500-3330;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
2MASS J0310+1648;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Cha Ha 1;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
IRAM 04191;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
DENIS J1856-3655;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J0612-3036;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J0812+4021;nan;Газовый гигант;14618.80;11.34;55.24;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
DENIS J0322-3547;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
DENIS J1342-4413;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
DENIS J1344-4336;nan;Газовый гигант;14618.80;11.34;55.24;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
LP 81-30 b;LP 81-30;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
S Ori 28;nan;Газовый гигант;14618.80;11.34;55.24;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
IPMBD 29;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
S Ori J053855.4-024121;nan;Газовый гигант;14301.00;11.34;54.04;285;271.46;0.814;0.000;0.333;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 40979 b;HD 40979;Газовый гигант;1720.38;10.21;8.91;313;264.15;0.912;0.570;0.334;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
S Ori J053944.5-025959;nan;Газовый гигант;4131.40;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J1405+5534;nan;Газовый гигант;4131.40;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J1812+2721;nan;Газовый гигант;4131.40;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
[H97b] 20422;nan;Газовый гигант;4004.28;10.02;21.95;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J1639-6847;nan;Газовый гигант;4131.40;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
SR 12 (AB) c;SR 12 (AB);Газовый гигант;4131.40;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
SR 12 AB c;SR 12 AB;Газовый гигант;4131.62;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
[DRS2009] 2578;nan;Газовый гигант;4163.18;10.02;22.82;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
[DRS2009] 2447;nan;Газовый гигант;4194.96;10.02;23.00;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Proplyd 133-353;Proplyd 133-353;Газовый гигант;4131.40;10.02;22.65;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
OGLE-2017-BLG-1038 b;nan;Газовый гигант;4226.74;10.02;23.17;204;352.62;0.897;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
USco 1602-2401 b;USco 1602-2401;Газовый гигант;13029.80;12.23;39.27;245;624.31;1.576;0.000;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 55696 b;HD 55696;Газовый гигант;1506.40;8.79;12.24;183;1827.00;3.184;0.668;0.334;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
2MASS J1547-2423;nan;Газовый гигант;6200.28;11.88;20.37;239;784.56;1.826;0.000;0.334;Оригинал;Оригинал
HIP 5158 b;HIP 5158;Газовый гигант;2250.63;10.20;11.69;208;345.72;0.887;0.873;0.335;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
OGLE-2018-BLG-1011L b;OGLE-2018-BLG-1011L;Газовый гигант;570.00;8.00;6.13;170;63.57;0.176;0.170;0.335;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
2MASS J1209-1004;nan;Газовый гигант;15572.20;10.31;78.24;308;151.61;0.531;0.000;0.335;Оригинал;Оригинал
HD 156411 b;HD 156411;Газовый гигант;5095.55;11.52;18.37;278;842.20;1.880;0.000;0.335;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 128356 b;HD 128356;Газовый гигант;1882.02;11.23;7.32;227;298.20;0.757;0.188;0.335;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
COUP 225;nan;Газовый гигант;4099.62;10.83;17.79;220;245.53;0.688;0.000;0.335;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
S Ori J05382650-0209257;nan;Газовый гигант;4099.62;10.83;17.79;220;245.53;0.688;0.000;0.335;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
HIP 66074 b;HIP 66074;Газовый гигант;1589.14;8.32;15.21;176;310.90;0.799;0.038;0.335;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
94 Cet Ab;94 Cet A;Газовый гигант;3706.86;9.92;20.95;318;466.20;1.297;0.000;0.335;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
OGLE-2018-BLG-1011L c;OGLE-2018-BLG-1011L;Газовый гигант;890.00;8.00;9.58;170;59.56;0.169;0.859;0.335;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
MOA-2016-BLG-319L b;MOA-2016-BLG-319L;Газовый гигант;200.00;8.37;1.88;177;30.64;0.102;0.000;0.336;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-6695 c;TOI-6695;Газовый гигант;99.77;8.00;1.07;379;242.40;0.838;0.000;0.336;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
KIC 10848807 (AB)b;KIC 10848807 (AB);Газовый гигант;4174.54;10.65;19.02;297;785.00;1.872;0.000;0.336;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J091558.49+254713.6;StKM 1-760;Газовый гигант;9534.00;9.03;71.44;343;35.99;0.180;0.000;0.336;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
HD 96167 Ab;HD 96167 A;Газовый гигант;3358.19;10.32;16.83;306;498.90;1.347;0.000;0.336;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
KMT-2019-BLG-1953L b;KMT-2019-BLG-1953L;Газовый гигант;200.00;9.37;1.34;332;13.87;0.076;0.000;0.336;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1227 Bb;TOI-1227 B;Газовый гигант;266.88;9.57;1.68;326;27.36;0.098;0.000;0.337;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HIP 63734 b;HIP 63734;Газовый гигант;3495.80;9.81;20.42;319;276.44;0.875;0.000;0.337;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
LP 466-214 b;LP 466-214;Газовый гигант;19068.00;8.26;186.42;176;386.66;0.566;0.000;0.337;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-419 c;Kepler-419;Газовый гигант;2320.10;10.94;9.78;288;675.47;1.681;0.696;0.337;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
OGLE-2015-BLG-0954L b;OGLE-2015-BLG-0954L;Газовый гигант;1100.00;8.00;11.84;172;83.84;0.251;0.689;0.338;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 75898 b;HD 75898;Газовый гигант;3500.35;10.89;14.94;289;422.82;1.202;0.267;0.338;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
GJ 163 d;GJ 163;Газовый гигант;1526.43;10.42;7.44;216;603.95;1.391;0.263;0.338;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 11506 c;HD 11506;Газовый гигант;1067.44;9.06;7.90;339;223.92;0.771;0.445;0.338;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
KMT-2024-BLG-2005 b;KMT-2024-BLG-2005;Газовый гигант;50.85;8.00;0.55;173;38.34;0.110;0.000;0.338;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1227 b;TOI-1227;Газовый гигант;266.88;9.57;1.68;323;27.36;0.098;0.000;0.338;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1647 b;Kepler-1647;Газовый гигант;483.00;11.87;1.59;244;1107.59;2.239;0.000;0.339;Оригинал;Оригинал
HD 196050 Ab;HD 196050 A;Газовый гигант;995.66;8.86;7.89;188;1316.24;2.404;0.457;0.339;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
EQ J1959-3338;nan;Газовый гигант;12712.00;9.53;80.99;323;39.30;0.189;0.000;0.339;Оригинал;Оригинал
OGLE-2018-BLG-1119 b;OGLE-2018-BLG-1119;Газовый гигант;289.20;9.50;1.86;324;21.82;0.120;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2018-BLG-1119L b;OGLE-2018-BLG-1119L;Газовый гигант;289.22;9.50;1.86;324;21.82;0.120;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
WISE J2354+0240;nan;Газовый гигант;794.50;9.52;5.08;323;67.32;0.293;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
MARSH10-4450;nan;Газовый гигант;794.50;9.52;5.08;323;67.32;0.293;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 40979 Ab;HD 40979 A;Газовый гигант;1370.32;10.24;7.02;303;264.10;0.832;0.190;0.339;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
KIC 3338660 (AB)b;KIC 3338660 (AB);Газовый гигант;3092.99;10.48;14.82;297;752.00;1.832;0.266;0.339;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 331093 b;HD 331093;Газовый гигант;1615.31;11.19;6.35;232;621.62;1.440;0.000;0.339;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
KMT-2021-BLG-1898L b;KMT-2021-BLG-1898L;Газовый гигант;232.01;9.50;1.49;323;22.32;0.121;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2021-BLG-2478L b;KMT-2021-BLG-2478L;Газовый гигант;286.05;8.00;3.08;373;7.20;0.043;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2017-BLG-1146L b;KMT-2017-BLG-1146L;Газовый гигант;230.00;8.00;2.48;373;9.23;0.059;0.000;0.339;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2023-BLG-0119L b;KMT-2023-BLG-0119L;Газовый гигант;83.70;8.00;0.90;372;44.13;0.218;0.000;0.340;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2023-BLG-0119 b;KMT-2023-BLG-0119;Газовый гигант;83.68;8.00;0.90;372;44.13;0.218;0.000;0.340;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GSC 04516-00523 b;GSC 04516-00523;Газовый гигант;21675.55;9.52;138.32;322;87.70;0.340;0.000;0.340;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
WISE J0744+5628;nan;Газовый гигант;11123.00;10.81;48.55;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
SCR J0959-3007 b;SCR J0959-3007;Газовый гигант;11123.00;10.81;48.55;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Cha Ha 11;nan;Газовый гигант;11123.00;10.81;48.55;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
2MASS J2154+5942;nan;Газовый гигант;11123.00;10.81;48.55;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
2MASS J2322-6151;nan;Газовый гигант;11281.90;10.81;49.24;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J1322-2340;nan;Газовый гигант;11123.00;10.81;48.55;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISE J1653+4444;nan;Газовый гигант;11123.00;10.81;48.55;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
[DRS2009] 1948;nan;Газовый гигант;11154.78;10.81;48.69;226;287.97;0.755;0.000;0.340;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
WISPIT 1 b;WISPIT 1;Газовый гигант;3305.42;10.40;16.18;218;219.73;0.646;0.000;0.341;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
HD 210193 b;HD 210193;Газовый гигант;3303.00;10.79;14.49;226;649.92;1.488;0.352;0.341;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
KMT-2018-BLG-0247 b;KMT-2018-BLG-0247;Газовый гигант;670.56;8.08;7.00;177;67.74;0.215;0.336;0.341;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2018-BLG-0247L b;KMT-2018-BLG-0247L;Газовый гигант;670.62;8.08;7.00;177;67.74;0.215;0.336;0.341;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 11506 b;HD 11506;Газовый гигант;958.59;8.00;10.32;175;1617.70;2.882;0.993;0.342;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
KIC 7339345 (AB)b;KIC 7339345 (AB);Газовый гигант;57.85;8.00;0.62;175;892.00;1.775;0.000;0.342;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
TYC 9255-929-1 b;TYC 9255-929-1;Газовый гигант;19585.70;10.59;90.81;223;298.47;0.838;0.000;0.342;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 27442 b;HD 27442;Газовый гигант;643.59;8.77;5.26;342;428.10;1.191;0.000;0.342;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 17674 b;HD 17674;Газовый гигант;6409.90;11.27;24.67;237;623.80;1.419;0.000;0.342;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
KMT-2022-BLG-0412 b;KMT-2022-BLG-0412;Газовый гигант;12712.00;10.94;53.44;231;175.89;0.532;0.000;0.342;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
Kepler-539 b;Kepler-539;Газовый гигант;308.30;8.37;2.89;354;125.63;0.499;0.000;0.342;Оригинал;Оригинал
HD 137388 b;HD 137388;Газовый гигант;1322.09;11.19;5.20;236;330.00;0.822;0.000;0.343;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
Kepler-1647 (AB)b;Kepler-1647 (AB);Газовый гигант;483.06;11.88;1.59;250;1107.59;2.720;0.000;0.343;Оригинал;Оригинал
HD 69830 d;HD 69830;Газовый гигант;3625.35;11.07;14.71;277;197.00;0.630;0.324;0.343;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
2MASS J0019-6226;HIP 1481 A;Газовый гигант;4728.86;9.91;26.78;212;734.60;1.679;0.000;0.344;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
HD 46588 b;HD 46588;Газовый гигант;148.23;8.00;1.60;365;223.00;0.741;0.000;0.344;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 160691 b;HD 160691;Газовый гигант;1366.66;11.19;5.37;238;645.00;1.522;0.000;0.344;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-35 b;Kepler-35;Газовый гигант;40.36;8.16;0.41;359;131.46;0.486;0.000;0.344;Оригинал;Оригинал
OGLE-2018-BLG-1367L b;OGLE-2018-BLG-1367L;Газовый гигант;301.94;8.00;3.25;365;9.64;0.058;0.000;0.344;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2018-BLG-1367 b;OGLE-2018-BLG-1367;Газовый гигант;301.91;8.00;3.25;365;9.64;0.058;0.000;0.344;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 208487 c;HD 208487;Газовый гигант;2825.91;9.77;16.72;210;923.06;1.944;0.000;0.344;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
CD-41 1115 b;CD-41 1115;Газовый гигант;21610.40;11.34;81.73;241;406.50;1.070;0.000;0.344;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
GJ 752 Ab;GJ 752 A;Газовый гигант;280.13;8.00;3.01;178;105.90;0.336;0.000;0.345;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
WISE J0359-5401;nan;Газовый гигант;3305.12;10.54;15.57;226;427.09;1.095;0.120;0.345;Оригинал;Оригинал
HIP 10090 c;HIP 10090;Газовый гигант;270.13;10.00;1.49;301;321.80;0.900;0.000;0.345;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
Kepler-857 b;Kepler-857;Газовый гигант;47.54;6.80;0.83;412;85.35;0.378;0.000;0.345;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
WISPIT 2 c;WISPIT 2;Газовый гигант;3178.00;11.77;10.74;252;557.12;1.360;0.839;0.346;Оригинал;Оригинал
Kepler-68 d;Kepler-68;Газовый гигант;2537.87;11.07;10.31;238;632.62;1.469;0.794;0.346;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
KMT-2019-BLG-1339L b;KMT-2019-BLG-1339L;Газовый гигант;397.00;9.39;2.64;205;88.39;0.304;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2021-BLG-1898 b;KMT-2021-BLG-1898;Газовый гигант;241.53;9.04;1.80;326;21.82;0.120;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
2MASS J0729-3954;nan;Газовый гигант;11898.43;10.54;56.05;228;300.76;0.807;0.000;0.347;Оригинал;Оригинал
OGLE-2016-BLG-1093L b;OGLE-2016-BLG-1093L;Газовый гигант;225.66;9.04;1.68;326;22.32;0.120;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2023-BLG-0548 b;KMT-2023-BLG-0548;Газовый гигант;190.68;8.37;1.79;187;30.64;0.095;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1669 b;TOI-1669;Газовый гигант;1251.10;10.33;6.25;224;500.00;1.227;0.029;0.347;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
OGLE-2012-BLG-0563L b;OGLE-2012-BLG-0563L;Газовый гигант;120.00;8.00;1.29;180;83.59;0.261;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 216770 b;HD 216770;Газовый гигант;550.46;8.24;5.43;351;118.45;0.427;0.010;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2013-BLG-1721L b;OGLE-2013-BLG-1721L;Газовый гигант;200.00;9.01;1.51;326;22.32;0.120;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2021-BLG-0240 c;KMT-2021-BLG-0240;Газовый гигант;222.46;9.04;1.66;324;22.32;0.121;0.000;0.347;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2019-BLG-0679L b;OGLE-2019-BLG-0679L;Газовый гигант;1061.55;8.32;10.17;348;50.94;0.234;0.954;0.348;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HR 810 b;HR 810;Газовый гигант;3671.84;10.13;19.45;293;302.80;0.973;0.000;0.348;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
SIPS J0614-2019;nan;Газовый гигант;19900.64;10.09;106.80;221;92.25;0.300;0.000;0.348;Оригинал;Оригинал
HD 190622 c;HD 190622;Газовый гигант;1446.15;10.45;6.99;284;315.70;0.920;0.169;0.348;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
2MASS J0535-0525;nan;Газовый гигант;4830.56;10.56;22.58;230;267.34;0.734;0.000;0.348;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
Kepler-820 b;Kepler-820;Газовый гигант;57.11;6.09;1.39;441;127.83;0.532;0.000;0.348;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 40781 b;HD 40781;Газовый гигант;19068.00;11.14;76.03;242;585.46;1.410;0.000;0.348;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-454 c;Kepler-454;Газовый гигант;2881.47;10.43;13.99;228;524.19;1.285;0.428;0.349;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
TOI-199 b;TOI-199;Газовый гигант;54.03;9.08;0.40;321;104.85;0.426;0.000;0.349;Оригинал;Оригинал
KMT-2023-BLG-0548L b;KMT-2023-BLG-0548L;Газовый гигант;1086.97;9.04;8.11;322;81.87;0.331;0.489;0.349;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
